topic,hashtags,usage_count,avg_engagement
"coding, programming, code, upgrade, pro",#softwaredevelopment,3,0.07439478489695357
"function, python, api, need, web",#7,1,0.0539037675896504
"function, python, api, need, web",#8,1,0.0539037675896504
"function, python, api, need, web",#5,1,0.0539037675896504
"function, python, api, need, web",#4,1,0.0539037675896504
"function, python, api, need, web",#3,1,0.0539037675896504
"function, python, api, need, web",#6,1,0.0539037675896504
"function, python, api, need, web",#2,1,0.0539037675896504
"function, python, api, need, web",#15,1,0.0539037675896504
"function, python, api, need, web",#13,1,0.0539037675896504
"function, python, api, need, web",#14,1,0.0539037675896504
"function, python, api, need, web",#12,1,0.0539037675896504
"function, python, api, need, web",#11,1,0.0539037675896504
"function, python, api, need, web",#10,1,0.0539037675896504
"function, python, api, need, web",#1,1,0.0539037675896504
"function, python, api, need, web",#9,1,0.0539037675896504
"coding, programming, code, upgrade, pro",#programming,11,0.050028778252109524
"coding, programming, code, upgrade, pro",#tech,4,0.04807173163782373
"coding, programming, code, upgrade, pro",#coding,14,0.04788145790511158
"coding, programming, code, upgrade, pro",#cloudflare,1,0.0469830366314269
"coding, programming, code, upgrade, pro",#steam,1,0.0461216534285891
"coding, programming, code, upgrade, pro",#linux,1,0.0461216534285891
"coding, programming, code, upgrade, pro",#steamos,1,0.0461216534285891
"coding, programming, code, upgrade, pro",#valve,1,0.0461216534285891
"coding, programming, code, upgrade, pro",#webdevelopment,1,0.0437446773154975
"coding, programming, code, upgrade, pro",#aws,1,0.0420314004458142
"coding, programming, code, upgrade, pro",#ai,6,0.03833929066881525
"coding, programming, code, upgrade, pro",#javascript,1,0.0382395441464822
"coding, programming, code, upgrade, pro",#react,1,0.0382395441464822
"coding, programming, code, upgrade, pro",#openai,1,0.0375513045730892
"coding, programming, code, upgrade, pro",#chatgpt,1,0.0375513045730892
